JOUR,O3obs,Pow2_O3obs,MOCAGE,TEMPE,RMH2O,NO2,NO,STATION,VentMOD,VentANG
1,91,8281,93.2,21.5,0.00847,1.6019999999999999,0.424,Aix,9.5,-0.6435
1,100,10000,104.6,20.2,0.00881,2.121,0.531,Aix,8.01,-0.049960000000000004
0,82,6724,103.6,17.4,0.00951,1.6569999999999998,0.467,Aix,9.3771,-0.12832000000000002
0,94,8836,94.8,18.8,0.00855,2.35,0.701,Aix,9.4578,-0.34515999999999997
0,107,11449,99.0,23.7,0.00731,1.653,0.452,Aix,7.8791,-0.41822
0,150,22500,114.3,23.6,0.01182,5.316,1.3430000000000002,Aix,6.3127,0.06341000000000001
0,164,26896,127.7,26.6,0.00937,2.841,0.55,Aix,4.8042,0.041639999999999996
1,135,18225,164.3,23.5,0.01087,15.732999999999999,2.911,Aix,4.8795,0.79989
1,121,14641,144.1,23.3,0.01168,8.807,1.867,Aix,5.1088,0.70226
0,129,16641,112.8,23.7,0.01091,18.910999999999998,4.7,Aix,5.4406,0.9420000000000001
0,118,13924,72.6,22.2,0.01626,4.258,1.304,Aix,5.9641,-0.60661
0,48,2304,146.0,14.3,0.014530000000000001,13.664000000000001,2.9760000000000004,Aix,5.8034,-0.03447
0,97,9409,87.5,18.5,0.009590000000000001,4.126,1.271,Aix,7.5273,0.33855999999999997
1,83,6889,158.9,15.4,0.01456,10.254000000000001,1.839,Aix,2.5942,0.48089
1,73,5329,112.6,19.6,0.0122,1.955,0.445,Aix,8.8752,-0.5848800000000001
0,91,8281,76.9,21.7,0.00685,1.382,0.429,Aix,12.3004,-0.63537
0,70,4900,81.8,24.4,0.0089,1.567,0.44299999999999995,Aix,9.5,-0.6435
0,125,15625,178.6,24.8,0.01206,8.216000000000001,1.139,Aix,6.5192,0.72027
0,168,28224,127.9,28.2,0.013869999999999999,4.632,0.861,Aix,7.1309,0.38832
0,113,12769,109.3,26.0,0.0122,12.29,2.958,Aix,5.9816,0.66691
1,118,13924,113.0,26.2,0.01064,4.615,0.995,Aix,6.2769,0.53496
1,130,16900,136.3,27.2,0.00912,4.276,0.8270000000000001,Aix,6.0033,0.52328
0,179,32041,141.1,27.8,0.0101,7.656000000000001,1.75,Aix,5.1313,0.57719
0,196,38416,131.4,29.1,0.00919,5.207999999999999,1.016,Aix,6.0902,0.51507
0,160,25600,141.1,29.5,0.010329999999999999,5.043,0.9,Aix,6.1221,0.66964
0,180,32400,163.6,29.5,0.007890000000000001,8.52,1.385,Aix,5.5227,0.55284
0,103,10609,141.6,29.1,0.00663,6.654,1.341,Aix,5.2839,0.51445
1,214,45796,159.9,33.2,0.01431,4.122,0.563,Aix,7.2615,0.39585
1,178,31684,138.1,30.5,0.015090000000000001,6.835,1.1740000000000002,Aix,6.0877,0.73892
0,160,25600,155.1,30.9,0.01526,2.489,0.349,Aix,7.2422,-0.61864
0,131,17161,140.5,30.2,0.00877,3.0260000000000002,0.48100000000000004,Aix,9.0,-0.6435
0,169,28561,149.9,30.2,0.011340000000000001,2.198,0.314,Aix,5.7801,-0.52558
0,139,19321,92.5,26.0,0.01426,23.822,7.51,Aix,5.36,0.9310299999999999
0,104,10816,97.9,25.4,0.00884,1.8159999999999998,0.414,Aix,12.3907,-0.83678
1,127,16129,96.1,26.2,0.0071200000000000005,1.78,0.429,Aix,6.2266,-0.5211399999999999
1,163,26569,123.7,25.4,0.010579999999999999,2.701,0.596,Aix,6.3008,0.01587
0,121,14641,146.2,23.3,0.013430000000000001,18.234,3.773,Aix,4.7854,1.11649
0,93,8649,126.1,26.6,0.01217,3.187,0.669,Aix,6.0133,-0.06657
0,108,11664,122.4,22.1,0.01872,8.698,2.0380000000000003,Aix,6.4444,0.73051
0,91,8281,99.7,24.7,0.007540000000000001,2.109,0.502,Aix,11.2058,-0.57563
0,129,16641,122.4,24.5,0.00921,5.359,1.146,Aix,6.9354,0.7446
1,89,7921,146.5,24.9,0.011340000000000001,2.336,0.36200000000000004,Aix,6.5765,-0.49085
1,145,21025,145.2,28.1,0.01342,4.691,0.8079999999999999,Aix,7.4653,0.68102
0,124,15376,127.3,28.0,0.01123,6.486000000000001,1.2919999999999998,Aix,7.1344,1.02557
0,132,17424,125.9,26.9,0.011729999999999999,9.414,2.22,Aix,6.2936,0.7741600000000001
0,96,9216,183.4,26.3,0.014830000000000001,4.334,0.58,Aix,5.4452,-0.12891
0,116,13456,117.0,28.9,0.01007,2.7430000000000003,0.541,Aix,6.36,-0.28694000000000003
0,132,17424,128.4,30.0,0.01023,2.81,0.508,Aix,6.562,-0.13759000000000002
1,93,8649,74.1,24.9,0.00984,1.045,0.337,Aix,9.426,-0.71783
0,117,13689,159.1,20.1,0.01962,3.127,0.43200000000000005,Aix,5.4626,-0.41451000000000005
0,96,9216,143.3,23.7,0.015340000000000001,2.125,0.36200000000000004,Aix,12.1017,-0.74449
0,111,12321,119.9,28.4,0.01138,1.8230000000000002,0.33399999999999996,Aix,10.6042,-0.6718
0,184,33856,168.5,29.0,0.009000000000000001,3.827,0.612,Aix,6.7119,-0.059629999999999996
1,170,28900,133.4,28.3,0.01188,4.647,0.807,Aix,6.7231,0.53022
1,148,21904,125.6,28.5,0.015369999999999998,11.48,2.414,Aix,4.6615,0.6177600000000001
0,109,11881,154.3,31.1,0.008329999999999999,3.415,0.47200000000000003,Aix,5.8669,-0.51703
0,222,49284,133.9,29.5,0.01456,3.339,0.5720000000000001,Aix,5.7079,-0.052579999999999995
0,80,6400,72.6,27.6,0.01205,1.051,0.29,Aix,12.4483,-0.80812
0,108,11664,105.7,25.8,0.01035,1.704,0.358,Aix,12.5607,-0.70085
0,156,24336,137.1,28.6,0.01256,2.6860000000000004,0.452,Aix,5.5731,0.1622
1,126,15876,136.8,27.1,0.0138,7.755,1.464,Aix,6.2968,0.81909
1,130,16900,150.6,26.6,0.01577,4.65,0.768,Aix,5.6851,0.6857300000000001
0,182,33124,229.2,22.1,0.02486,18.303,2.153,Aix,5.0931,0.81317
0,107,11449,147.6,24.7,0.017159999999999998,6.162999999999999,1.073,Aix,5.4818,0.25825
0,148,21904,155.2,30.0,0.01172,5.587000000000001,0.847,Aix,6.044,0.67991
1,171,29241,163.9,30.3,0.01441,7.945,1.181,Aix,6.162000000000001,0.7279899999999999
0,157,24649,148.5,32.2,0.014240000000000001,4.842,0.741,Aix,6.5947,0.71027
0,181,32761,146.6,32.7,0.01151,5.193,0.809,Aix,7.0831,0.5331600000000001
0,155,24025,157.5,32.2,0.0179,5.705,0.9840000000000001,Aix,5.7689,0.588
0,191,36481,149.6,31.8,0.0152,7.8629999999999995,1.276,Aix,6.3702,0.82981
1,202,40804,143.2,32.5,0.01549,4.628,0.79,Aix,7.1610000000000005,0.62674
1,176,30976,128.5,31.6,0.013319999999999999,4.274,0.768,Aix,7.1028,0.61534
0,183,33489,184.0,32.8,0.01814,4.56,0.544,Aix,7.4404,0.63275
0,255,65025,191.2,34.1,0.01693,10.559000000000001,1.254,Aix,7.0725,0.8054
0,185,34225,176.9,32.6,0.020040000000000002,10.607999999999999,1.396,Aix,7.2863,0.7562800000000001
0,193,37249,207.7,32.5,0.01941,8.263,0.981,Aix,6.7417,0.5633199999999999
1,197,38809,205.9,32.1,0.01722,7.736000000000001,0.856,Aix,6.5307,0.4431
0,136,18496,126.1,32.5,0.01247,1.9680000000000002,0.319,Aix,7.9076,-0.16515
1,141,19881,91.8,23.3,0.0071400000000000005,13.654000000000002,4.015,Aix,6.0803,0.93716
0,103,10609,130.0,25.1,0.0043100000000000005,6.631,1.206,Aix,6.1033,-1.5380200000000002
0,90,8100,95.8,21.1,0.00442,2.7560000000000002,0.745,Aix,8.6833,-0.5048600000000001
1,91,8281,121.5,18.0,0.00558,3.785,0.855,Aix,12.5495,-0.71208
0,93,8649,110.1,19.8,0.00373,4.416,1.101,Aix,7.3055,-0.33474
0,93,8649,163.1,19.0,0.0069,30.934,5.006,Aix,3.9319,0.12750999999999998
0,119,14161,119.4,20.9,0.00414,4.848,1.069,Aix,4.3463,-0.40187
0,124,15376,129.6,22.0,0.00569,2.5839999999999996,0.483,Aix,7.518,-0.49935
1,87,7569,102.5,18.9,0.009559999999999999,4.836,1.2890000000000001,Aix,5.3535,-0.5724600000000001
1,107,11449,116.9,20.0,0.006370000000000001,6.632000000000001,1.635,Aix,6.3789,0.23736999999999997
0,106,11236,81.4,14.5,0.00969,22.496,8.513,Aix,0.9434,-0.5586
0,77,5929,122.0,16.0,0.01097,4.776,0.94,Aix,3.9205,-0.65881
0,82,6724,101.0,15.6,0.00599,3.8339999999999996,1.0979999999999999,Aix,11.9808,-0.6551899999999999
0,93,8649,131.5,22.9,0.00404,5.167000000000001,1.057,Aix,5.9464,-0.34302
0,117,13689,118.1,21.6,0.0065,19.528,4.996,Aix,6.4382,0.75244
1,115,13225,93.4,22.0,0.00555,12.767999999999999,4.025,Aix,6.1294,1.07796
1,117,13689,134.9,23.2,0.0054,2.6060000000000003,0.498,Aix,4.8260000000000005,-0.97705
0,87,7569,102.0,20.5,0.00635,2.886,0.758,Aix,11.6825,-0.66405
0,111,12321,117.9,24.0,0.006690000000000001,4.662,1.072,Aix,6.0166,-0.26916999999999996
0,116,13456,169.5,24.8,0.0119,11.374,1.8459999999999999,Aix,4.7011,0.5112300000000001
0,144,20736,190.1,24.5,0.01167,7.577999999999999,1.031,Aix,5.0567,0.42826000000000003
0,155,24025,150.8,25.3,0.010209999999999999,9.947000000000001,1.778,Aix,5.5866,0.77274
1,183,33489,155.1,25.1,0.01015,5.715,0.965,Aix,5.7585,0.35470999999999997
1,134,17956,158.0,25.5,0.01045,6.063,1.08,Aix,5.0606,0.5167
0,82,6724,115.9,27.3,0.01517,2.5340000000000003,0.47700000000000004,Aix,9.6177,-0.77069
0,90,8100,106.7,24.3,0.011290000000000001,5.547000000000001,1.45,Aix,5.0912,-0.7854
0,151,22801,148.9,25.0,0.0095,4.297,0.722,Aix,5.101,0.01961
0,188,35344,167.8,24.0,0.01242,3.99,0.597,Aix,2.8071,0.07131
0,142,20164,170.0,24.9,0.011559999999999999,3.398,0.45799999999999996,Aix,4.4598,0.34302
1,85,7225,127.8,26.3,0.00439,2.8680000000000003,0.5920000000000001,Aix,7.4404,-0.63275
1,90,8100,94.9,25.5,0.004070000000000001,3.2119999999999997,0.907,Aix,10.3856,-0.67624
0,68,4624,101.6,25.4,0.0059700000000000005,3.125,0.795,Aix,11.7456,-0.74927
0,98,9604,123.6,19.5,0.00778,6.765,1.659,Aix,7.0292,0.8760600000000001
0,111,12321,106.3,21.9,0.00495,3.5460000000000003,0.922,Aix,5.8189,-0.33261999999999997
0,131,17161,145.0,20.2,0.00686,5.6,1.143,Aix,6.6129,0.35523000000000005
1,102,10404,132.8,20.0,0.00772,10.051,2.395,Aix,6.0877,0.83188
1,112,12544,122.4,21.8,0.00688,6.876,1.574,Aix,6.2097,1.31019
0,104,10816,137.2,25.0,0.00809,4.961,0.924,Aix,6.691,-1.40565
0,109,11881,156.4,25.7,0.00717,4.263999999999999,0.6920000000000001,Aix,6.0415,-0.50067
0,117,13689,124.2,28.5,0.00827,2.455,0.48200000000000004,Aix,6.7417,-0.36398
0,139,19321,178.4,29.3,0.00922,3.877,0.516,Aix,6.5307,0.2004
1,229,52441,173.2,28.6,0.009770000000000001,5.3660000000000005,0.763,Aix,5.6436,0.51915
0,169,28561,194.6,27.5,0.01235,4.596,0.569,Aix,4.3863,0.42285
0,122,14884,177.1,29.3,0.01167,4.776,0.682,Aix,5.8669,0.51703
0,163,26569,188.8,27.3,0.015040000000000001,4.38,0.478,Aix,1.5811,0.60554
0,123,15129,163.7,27.6,0.01125,8.892999999999999,1.4409999999999998,Aix,4.3417,0.5048600000000001
0,116,13456,153.5,28.2,0.01078,14.289000000000001,2.492,Aix,6.7201,0.93325
1,117,13689,152.0,28.4,0.00954,11.102,1.931,Aix,6.229,0.73997
1,118,13924,160.1,30.3,0.00878,7.62,1.1840000000000002,Aix,6.3253,0.68462
0,115,13225,165.8,31.1,0.0083,8.147,1.291,Aix,6.49,0.588
0,97,9409,141.2,30.8,0.00924,9.568999999999999,1.756,Aix,6.825,0.68161
0,82,6724,146.8,27.1,0.012440000000000001,7.886,1.545,Aix,6.1522,0.79689
0,116,13456,107.4,27.7,0.00828,2.5180000000000002,0.5489999999999999,Aix,8.3024,-0.02409
0,64,4096,104.7,26.0,0.01025,2.053,0.46299999999999997,Aix,8.8051,0.03408
0,81,6561,111.2,25.8,0.00626,3.135,0.782,Aix,8.8204,-0.5754199999999999
1,102,10404,128.3,24.0,0.00658,2.539,0.51,Aix,9.0802,-0.44395
1,89,7921,144.3,25.6,0.00742,2.16,0.348,Aix,5.9816,-0.66691
0,124,15376,141.6,30.0,0.00863,2.542,0.41100000000000003,Aix,5.7009,-0.37725
0,139,19321,186.2,28.1,0.008440000000000001,5.222,0.684,Aix,6.3695,0.38634
0,176,30976,170.3,27.1,0.01128,3.391,0.41100000000000003,Aix,3.6056,0.33929000000000004
1,148,21904,176.6,27.2,0.00896,8.967,1.4909999999999999,Aix,6.3702,0.74098
0,156,24336,166.6,27.4,0.00897,13.770999999999999,2.208,Aix,6.4351,0.7963899999999999
1,123,15129,142.4,30.2,0.01025,17.158,3.1069999999999998,Aix,7.1344,1.02557
1,149,22201,244.1,33.3,0.00782,9.755,0.97,Aix,5.7009,0.66104
0,120,14400,227.0,23.9,0.012320000000000001,17.012999999999998,2.068,Aix,3.467,0.99079
0,77,5929,121.2,25.9,0.009290000000000001,4.712,0.953,Aix,8.1025,-0.41948
0,107,11449,98.2,29.8,0.0043,3.937,0.97,Aix,11.5256,-0.67474
0,83,6889,98.5,30.5,0.00619,3.0,0.728,Aix,12.1622,-0.7854
0,120,14400,109.1,29.6,0.00375,3.605,0.823,Aix,10.9786,-0.7274
1,96,9216,159.1,27.6,0.0060799999999999995,3.907,0.628,Aix,7.0029,0.028560000000000002
1,98,9604,143.7,27.8,0.00909,13.958,2.5980000000000003,Aix,6.1847,0.8884799999999999
0,102,10404,144.5,27.9,0.01151,15.724,2.9530000000000003,Aix,6.3411,0.9083700000000001
0,144,20736,253.4,29.1,0.00913,17.967,1.89,Aix,5.6727,0.71054
0,103,10609,151.7,30.3,0.00995,9.202,1.4869999999999999,Aix,6.8154,1.17939
0,113,12769,150.3,31.4,0.01004,7.685,1.216,Aix,7.0214,1.26706
0,115,13225,207.2,30.5,0.012240000000000001,7.961,0.853,Aix,5.8241,1.2925
1,117,13689,122.0,29.0,0.00701,2.9610000000000003,0.579,Aix,7.6538,-0.50456
1,93,8649,102.7,26.5,0.0044,3.1719999999999997,0.743,Aix,8.3648,-0.48503
0,93,8649,132.0,29.8,0.00476,3.34,0.581,Aix,6.2514,0.12832000000000002
0,100,10000,149.8,23.9,0.01123,2.6430000000000002,0.358,Aix,5.0329,-0.36575
0,97,9409,122.8,26.2,0.00743,3.1180000000000003,0.617,Aix,14.2948,-0.8249799999999999
0,101,10201,98.4,26.2,0.00428,3.778,0.982,Aix,14.1767,-0.8552799999999999
0,98,9604,93.9,29.8,0.00464,3.572,0.898,Aix,10.8904,-0.77241
1,83,6889,98.9,30.0,0.00518,1.8519999999999999,0.45299999999999996,Aix,10.4019,-0.90807
1,74,5476,79.6,26.8,0.00629,2.079,0.605,Aix,12.14,-0.92565
0,118,13924,103.7,27.0,0.00364,3.122,0.6659999999999999,Aix,5.5902,-0.17985
0,109,11881,126.7,25.1,0.00672,12.365,2.655,Aix,6.8819,0.95055
0,99,9801,241.6,23.1,0.0138,9.918,1.008,Aix,3.9825,0.49733999999999995
0,85,7225,102.3,28.6,0.004529999999999999,3.159,0.737,Aix,9.9765,-0.74995
1,92,8464,78.5,28.6,0.00483,2.515,0.7440000000000001,Aix,9.4403,-0.63503
1,92,8464,100.2,28.4,0.006379999999999999,2.603,0.5720000000000001,Aix,7.5007,-0.013330000000000002
0,109,11881,135.6,26.4,0.00556,12.93,2.396,Aix,6.4444,0.84029
0,117,13689,128.4,27.2,0.00985,5.479,0.968,Aix,6.6287,0.1974
1,91,8281,118.1,24.1,0.0058,2.6060000000000003,0.517,Aix,7.1449,0.1122
1,69,4761,131.4,19.6,0.00902,4.453,0.7659999999999999,Aix,6.5,-0.5325
0,83,6889,126.5,23.0,0.00866,3.8369999999999997,0.7240000000000001,Aix,14.0014,-0.7955
0,71,5041,103.9,25.9,0.00462,2.839,0.652,Aix,10.6832,-0.7523
0,105,11025,147.6,26.4,0.00827,5.04,0.7659999999999999,Aix,5.41202,0.28084000000000003
0,108,11664,120.4,24.5,0.0069299999999999995,7.581,1.4080000000000001,Aix,6.73573,0.71185
0,86,7396,113.9,26.1,0.007790000000000001,5.063,0.852,Aix,5.93633,-0.56931
1,26,676,187.3,21.7,0.010440000000000001,20.248,2.278,Aix,4.12311,0.39852
1,79,6241,149.8,24.0,0.01226,5.145,0.7020000000000001,Aix,2.6907200000000002,-0.73282
0,109,11881,176.3,25.6,0.010879999999999999,6.182,0.7609999999999999,Aix,6.3198099999999995,0.0792
0,138,19044,192.4,27.2,0.009290000000000001,5.561,0.613,Aix,5.916919999999999,0.53172
0,126,15876,153.9,27.4,0.0065,10.126,1.4880000000000002,Aix,5.63649,0.43983999999999995
0,100,10000,132.1,25.6,0.01043,15.658,2.78,Aix,6.30079,0.9431700000000001
0,133,17689,183.6,28.8,0.008740000000000001,15.225,1.787,Aix,5.45894,0.49642
1,112,12544,157.0,28.4,0.00932,7.957999999999999,1.115,Aix,5.76975,0.44814
1,110,12100,130.5,27.6,0.008159999999999999,11.647,1.986,Aix,5.59732,0.8486
0,104,10816,90.2,21.2,0.01293,4.083,1.052,Aix,9.80306,-0.32175
0,71,5041,85.1,19.5,0.013330000000000002,4.5280000000000005,0.838,Aix,7.0214,-0.30373
0,86,7396,92.6,19.9,0.013009999999999999,18.337,2.935,Aix,2.9681599999999997,0.56931
1,84,7056,66.9,21.0,0.013590000000000001,9.213,1.686,Aix,2.3021700000000003,-1.52735
0,75,5625,91.5,21.5,0.00773,4.522,1.11,Aix,5.727130000000001,-0.43241
0,96,9216,118.6,21.2,0.010440000000000001,11.1,2.043,Aix,4.68615,0.8760600000000001
0,87,7569,116.8,24.6,0.00992,5.553,0.9990000000000001,Aix,5.7384699999999995,-0.39345
0,105,11025,148.4,25.9,0.009559999999999999,9.34,1.24,Aix,4.00125,-0.024990000000000002
0,60,3600,75.8,17.9,0.00799,9.915,2.766,Aix,2.7730799999999998,-0.44752
0,112,12544,139.6,20.4,0.007409999999999999,8.124,1.2209999999999999,Aix,4.20476,-0.047580000000000004
0,117,13689,154.7,20.4,0.00663,31.114,3.7760000000000002,Aix,3.80789,0.23861
1,105,11025,152.6,20.4,0.00975,18.402,2.339,Aix,2.65707,0.34556
1,46,2116,67.2,15.0,0.00978,0.708,0.264,Als,4.44072,0.62549
1,92,8464,82.7,18.0,0.01055,0.8109999999999999,0.23,Als,3.9623199999999996,0.1776
0,68,4624,100.1,15.8,0.00932,2.41,0.638,Als,0.41231,0.24498000000000003
0,85,7225,80.5,17.1,0.01091,0.713,0.22899999999999998,Als,3.61248,0.72664
0,96,9216,74.8,18.0,0.00896,0.499,0.158,Als,5.217280000000001,0.21243
0,114,12996,56.1,19.7,0.00894,1.065,0.444,Als,1.9723099999999998,0.53172
0,127,16129,72.2,21.5,0.00995,1.045,0.348,Als,3.2249,1.05165
1,140,19600,123.2,22.3,0.00865,13.882,2.94,Als,5.66392,0.83536
1,131,17161,98.0,23.6,0.01013,4.596,1.1540000000000001,Als,6.8818600000000005,0.95055
0,84,7056,126.5,23.9,0.01314,2.9819999999999998,0.5379999999999999,Als,1.52315,0.40489
0,126,15876,211.7,26.0,0.01719,5.682,0.622,Als,3.70135,0.67052
0,102,10404,98.5,22.4,0.01615,1.31,0.282,Als,3.16228,0.32175
0,75,5625,118.5,19.8,0.01496,3.347,0.757,Als,4.3566,1.01463
0,79,6241,88.2,18.1,0.01299,1.0759999999999998,0.289,Als,5.99333,0.44872
1,99,9801,81.8,20.5,0.0117,1.101,0.319,Als,1.3038399999999999,0.5667300000000001
1,92,8464,119.8,20.7,0.01192,1.4069999999999998,0.273,Als,2.88444,0.9827899999999999
0,70,4900,69.4,17.6,0.00882,0.5670000000000001,0.18600000000000003,Als,6.92315,0.1889
0,70,4900,66.7,19.4,0.01192,0.657,0.207,Als,2.97321,0.34302
0,73,5329,58.4,22.3,0.01489,1.064,0.354,Als,2.8178,0.47952
0,64,4096,75.4,23.9,0.01404,0.922,0.251,Als,6.60303,-0.030289999999999997
0,120,14400,103.9,27.1,0.01399,5.676,1.244,Als,0.6,0.0
1,62,3844,82.2,26.4,0.02058,1.103,0.272,Als,3.02655,0.13255
1,101,10201,74.1,26.2,0.01725,1.676,0.49,Als,2.06155,0.8884799999999999
0,166,27556,143.5,32.0,0.01734,8.674,1.37,Als,1.6970599999999998,0.7854
0,239,57121,133.5,34.7,0.01906,6.254,0.9590000000000001,Als,0.5,0.9273
0,184,33856,183.8,29.2,0.02153,4.026,0.491,Als,4.3829199999999995,0.47385
0,87,7569,100.1,25.2,0.02475,1.78,0.318,Als,5.09215,0.34038
0,103,10609,127.7,25.1,0.021830000000000002,2.528,0.442,Als,1.14018,-1.30454
1,134,17956,80.9,27.2,0.01876,1.54,0.42,Als,1.48661,0.73782
1,98,9604,105.0,27.8,0.018080000000000002,3.178,0.6629999999999999,Als,0.36056,-0.588
0,124,15376,113.8,23.3,0.01488,3.8489999999999998,0.8190000000000001,Als,2.7313,0.41451000000000005
0,146,21316,119.2,23.1,0.01047,3.8310000000000004,0.7709999999999999,Als,3.5227800000000005,0.60375
0,154,23716,100.2,26.6,0.011729999999999999,1.357,0.273,Als,2.12132,0.7854
0,118,13924,73.5,25.4,0.00992,0.5920000000000001,0.16399999999999998,Als,5.96657,0.23685
0,98,9604,60.8,19.5,0.00972,0.7240000000000001,0.281,Als,5.29528,-0.18999000000000002
1,95,9025,48.8,18.6,0.00919,0.39,0.17800000000000002,Als,4.62277,0.8926799999999999
1,110,12100,80.8,21.4,0.01089,0.7020000000000001,0.19399999999999998,Als,4.52217,0.31476
0,117,13689,86.5,25.8,0.01029,0.828,0.20199999999999999,Als,4.08044,0.6288
0,63,3969,63.3,18.8,0.01252,0.7709999999999999,0.271,Als,6.22896,0.09647
0,69,4761,51.0,20.1,0.0157,0.885,0.355,Als,8.62148,0.90874
0,76,5776,77.8,18.2,0.01366,0.87,0.253,Als,5.099019999999999,0.44611000000000006
0,109,11881,108.8,23.0,0.01226,2.6639999999999997,0.5670000000000001,Als,0.31623,-0.32175
1,79,6241,66.3,20.1,0.01488,0.649,0.183,Als,3.4539800000000005,0.38588
1,81,6561,77.4,22.4,0.013680000000000001,1.225,0.345,Als,1.45602,0.2783
0,127,16129,126.3,29.1,0.01264,3.341,0.584,Als,0.7,-1.57079
0,79,6241,159.2,30.1,0.01376,1.66,0.226,Als,2.76586,0.8621700000000001
0,59,3481,83.9,19.0,0.013880000000000002,0.754,0.188,Als,5.37122,0.42201000000000005
0,97,9409,68.1,21.6,0.01166,0.6759999999999999,0.207,Als,2.6,-0.39479000000000003
0,132,17424,193.6,25.0,0.013669999999999998,5.321000000000001,0.623,Als,3.2015599999999997,0.25255
1,84,7056,104.3,23.0,0.013090000000000001,0.9890000000000001,0.182,Als,0.9434,0.5586
0,27,729,122.7,22.1,0.020819999999999998,2.742,0.444,Als,2.1400900000000003,0.91795
0,31,961,84.2,18.0,0.01849,1.264,0.312,Als,3.33766,-0.15037
0,69,4761,59.1,19.4,0.01456,4.062,1.768,Als,3.0413799999999998,0.47835
0,107,11449,79.5,21.6,0.01206,3.7039999999999997,1.285,Als,3.36155,0.53022
1,135,18225,116.7,27.6,0.01025,1.0390000000000001,0.179,Als,2.4083200000000002,0.84415
1,99,9801,96.8,24.8,0.00896,0.7929999999999999,0.177,Als,7.21249,0.29544000000000004
0,116,13456,77.6,21.5,0.011559999999999999,0.684,0.18600000000000003,Als,3.70135,0.9002700000000001
0,120,14400,80.7,24.7,0.01293,0.79,0.212,Als,4.52769,0.75416
